playerId,playerName,team,position,age,exp,bye,risk,points,vor,adp,auctionValue
71217,Kenny Britt,CLE,WR,29,8,9,3.717235293,178.4545873,-2.863206509,91.725,1.4
238498,Julian Edelman,NE,WR,31,8,9,7.860615595,81.45,-99.86779384,92.1,7.65
2495259,Dan Bailey,DAL,PK,29,6,6,2.461450386,143.0691317,7.040538002,92.7,1.4
2541785,Adam Thielen,MIN,WR,27,3,9,3.393031427,167.028334,-14.28945988,92.75,1.55
2495186,Colin Kaepernick,FA,QB,30,6,NA,8.943563969,0,-244.6742881,92.8,NA
2541161,Latavius Murray,MIN,RB,27,4,9,4.67767737,111.9071083,-33.80089114,93.15,1.75
2507763,Mike Wallace,BAL,WR,31,8,10,2.86211523,179.1396173,-2.178176535,93.3,1.55
2532884,Marvin Jones,DET,WR,27,5,7,5.641094853,163.7127393,-17.60505459,93.525,1.3
2555333,Corey Coleman,CLE,WR,23,1,9,4.863032443,159.4596038,-21.85819002,93.775,1.45
2543500,Jordan Matthews,BUF,WR,25,3,6,4.478281527,166.2916795,-15.02611437,94.6,2.3
2543847,John Brown,ARI,WR,27,3,8,5.262981158,148.5457506,-32.77204329,95.175,1.25
100013,Texans,HOU,DEF,NA,NA,7,4.303864379,110.3602155,-62.68756287,95.8,1.8
2505996,Eli Manning,NYG,QB,36,13,8,3.617058892,213.8796182,-30.79466995,96.425,3.05
2555415,Austin Hooper,ATL,TE,NA,1,5,3.02661418,133.6431094,-28.7525534,96.8667,1.8
2543603,Jeremy Hill,CIN,RB,25,3,6,3.664839469,115.5881536,-30.1198459,97.125,3.3
2555417,C.J. Prosise,SEA,RB,23,1,6,3.603507073,121.2327685,-24.47523102,97.575,1.15
2543466,Eric Ebron,DET,TE,24,3,7,5.426349025,156.8913282,-5.504334664,97.875,1.7
100020,Vikings,MIN,DEF,NA,NA,9,5.459324135,110.7930167,-62.25476168,98.55,2.55
2505629,Jason Witten,DAL,TE,35,14,6,1.92503391,147.1729199,-15.22274294,99.05,1.6
2495473,Shane Vereen,NYG,RB,28,6,8,4.951143362,116.8177449,-28.8902546,99.2667,1.05
2495143,Andy Dalton,CIN,QB,30,6,6,4.329207944,240.9812883,-3.692999845,99.625,2.2
2543770,Charles Sims,TB,RB,27,3,11,3.010344209,129.9955885,-15.71241098,100.4,0.5
2507166,Ted Ginn,NO,WR,32,10,5,4.833955685,159.7249252,-21.59286862,100.475,1.15
2495139,Charles Clay,BUF,TE,28,6,6,3.564611335,130.8568675,-31.53879536,100.6667,0.5
2543477,Blake Bortles,JAC,QB,26,3,8,6.315257478,157.7983158,-86.87597233,100.6667,0.5
2552656,J.J. Nelson,ARI,WR,25,2,8,4.108355965,131.5085803,-49.8092135,101.3333,0.5
925,Jamaal Charles,DEN,RB,31,9,5,5.604968056,110.1009184,-35.60708105,101.45,7.45
2543773,James White,NE,RB,25,3,9,2.642061433,154.2789872,8.570987717,101.625,1.35
2555259,Carson Wentz,PHI,QB,25,1,10,4.093220616,219.9752725,-24.69901565,102,2.45
2556075,Derrick Henry,TEN,RB,23,1,8,3.48194143,127.9660665,-17.741933,102.4,2
2552597,Breshad Perriman,BAL,WR,24,2,10,3.471269961,134.394746,-46.92304788,103,0.5
2557856,O.J. Howard,TB,TE,23,0,11,4.87952089,112.4032978,-49.992365,103.025,1.8
2558204,Jamaal Williams,GB,RB,NA,0,8,3.690243677,91.66530228,-54.0426972,103.275,1.5
100021,Patriots,NE,DEF,NA,NA,9,4.080420056,173.7648507,0.717072345,103.4,1.85
2555227,Jonathan Williams,BUF,RB,23,1,6,3.15858816,74.57957239,-71.12842709,103.6,0
2557863,Zay Jones,BUF,WR,22,0,6,3.410351673,149.271613,-32.04618087,103.7,1.75
2540020,Theo Riddick,DET,RB,26,4,7,3.690356122,170.8251118,25.11711229,103.7667,2.8
2505245,Carson Palmer,ARI,QB,38,14,8,4.716697057,225.5020957,-19.17219241,103.875,3.9
